code,description,description_es
333,"Petroleum oils and oils obtained from bituminous materials, other than crude; preparations n.e.c. containing by weight 70% or more of these oils, such oils being the basic constituents of the preparations","Aceites de petróleo y aceites obtenidos de minerales bituminosos, que no sean aceites crudos; preparados n.c.p., que contengan por lo menos el 70% de su peso en aceites de esos tipos y cuyos componentes básicos sean esos aceites"
334,"Petroleum gases and other gaseous hydrocarbons, except natural gas","Gases de petróleo y otros hidrocarburos gaseosos, excepto gas natural"
335,"Petroleum jelly; paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products; petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous materials","Vaselina; cera de parafina, cera de petróleo micro cristalina, cera cruda, ozoquerita, cera de lignito, cera de turba, otras ceras minerales, y productos similares; coque de petróleo, betún de petróleo y otros residuos de aceites de petróleo o de aceites obtenidos de minerales bituminosos"
336,"Radioactive elements and isotopes and compounds; alloys, dispersions, ceramic products and mixtures containing these elements, isotopes or compounds; radioactive residues","Elementos e isótopos radiactivos y sus compuestos; aleaciones, dispersiones, productos cerámicos y mezclas que contengan estos elementos, isótopos o compuestos; residuos radiactivos"
337,"Fuel elements (cartridges), for or of nuclear reactors","Elementos combustibles (cartuchos) para reactores nucleares o de reactores nucleares"
34,"Basic chemicals","Químicos básicos"
341,"Basic organic chemicals","Químicos orgánicos básicos"
342,"Basic inorganic chemicals n.e.c.","Químicos inorgánicos básicos n.c.p."
343,"Tanning or dyeing extracts; tannins and their derivatives; colouring matter n.e.c.","Extractos tintóreos o curtientes; taninos y sus derivados; materias colorantes n.c.p."
344,"Activated natural mineral products; animal black; tall oil; terpenic oils produced by the treatment of coniferous woods; crude dipentene; crude para-cymene; pine oil; rosin and resin acids, and derivatives thereof; rosin spirit and rosin oils; rum gums; wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch","Productos minerales naturales activados; negro animal; aceite de resina; aceites terpénicos producidos por tratamiento de madera de coníferas; dipenteno crudo; paracimeno crudo; aceite de pino; colofonia y ácidos resínicos, y sus derivados; esencias de colofonia y aceites de colofonia, alquitrán de madera; aceites de alquitrán de madera, creosota de madera, nafta de madera, resina vegetal"
345,"Miscellaneous basic chemical products","Productos químicos básicos diversos"
346,"Fertilizers and pesticides","Fertilizantes y pesticidas"
347,"Plastics in primary forms","Plásticos en formas primarias"
348,"Synthetic rubber and factice derived from oils, and mixtures thereof with natural rubber and similar natural gums, in primary forms or in plates, sheets or strip","Caucho sintético y derivados artificial de aceites, y mezclas de estos con caucho natural y gomas naturales similares, en formas primarias o en planchas, hojas o tiras"
35,"Other chemical products; man-made fibres","Otros productos químicos; Fibras textiles artificiales o sintéticas"
351,"Paints and varnishes and related products; artists' colours; ink","Pinturas y barnices y productos relacionados; colores para la pintura artística; tinta"
352,"Pharmaceutical products","Productos farmacéuticos"
353,"Soap, cleaning preparations, perfumes and toilet preparations","Jabón, preparados para la limpieza, perfumes y preparados de tocador"
354,"Chemical products n.e.c.","Productos químicos n.c.p."
355,"Man-made fibres","Fibras textiles artificiales o sintéticas"
36,"Rubber and plastics products","Productos de caucho y plásticos"
361,"Rubber tyres and tubes","Neumáticos y cámaras de aire, de caucho"
362,"Other rubber products","Otros productos de caucho"
363,"Semi-manufactures of plastics","Semi elaboraciones de plástico"
364,"Packaging products of plastics","Producto de embalaje de plásticos"
369,"Other plastics products","Otros productos plásticos"
37,"Glass and glass products and other non-metallic products n.e.c.","Vidrios y productos de vidrio y otros productos no metálicos n.c.p."
371,"Glass and glass products","Vidrios y productos de vidrio"
372,"Non-structural ceramic ware","Artículos de cerámica no estructurales"
373,"Refractory products and structural non-refractory clay products","Productos refractarios y productos estructurales de arcilla no refractarios"
374,"Plaster, lime and cement","Yeso, cal y cemento"
375,"Articles of concrete, cement and plaster","Artículos de hormigón, cemento y yeso"
376,"Monumental or building stone and articles thereof","Piedra de construcción o de talla y artículos de los mismos"
379,"Other non-metallic mineral products n.e.c.","Otros productos minerales no metálicos n.c.p."
38,"Furniture; other transportable goods n.e.c.","Muebles; otros bienes transportables n.c.p."
381,"Furniture","Muebles"
382,"Jewellery and related articles","Joyas y artículos relacionados"
383,"Musical instruments","Instrumentos musicales"
384,"Sports goods","Artículos deportivos"
385,"Games and toys","Juegos y juguetes"
386,"Roundabouts, swings, shooting galleries and other fairground amusements","Carruseles, columpios, casetas de tiro al blanco y otras atracciones de feria"
387,"Prefabricated buildings","Edificios prefabricados"
389,"Other manufactured articles n.e.c.","Otros artículos manufacturados n.c.p."
39,"Wastes or scraps","Desperdicios o desechos"
391,"Wastes from food and tobacco industry","Desperdicios de la industria de la alimentación y el tabaco"
392,"Non-metal wastes or scraps","Desperdicios o desechos no metálicos"
393,"Metal wastes or scraps","Desperdicios o desechos metálicos"
399,"Other wastes and scraps","Otros desperdicios y desechos"
4,"Metal products, machinery and equipment","Productos metálicos, maquinaria y equipo"
41,"Basic metals","Metales comunes"
411,"Basic iron and steel","Productos comunes de hierro y acero"
412,"Products of iron or steel","Productos de hierro o acero"
413,"Basic precious metals and metals clad with precious metals","Metales preciosos comunes y metales revestidos con metales preciosos"
414,"Copper, nickel, aluminium, alumina, lead, zinc and tin, unwrought","Cobre, níquel, aluminio, alúmina, plomo, zinc y estaño, en bruto"
415,"Semi-finished products of copper, nickel, aluminium, lead, zinc and tin or their alloys","Productos semiacabados de cobre, níquel, aluminio, plomo, zinc y estaño o sus aleaciones"
416,"Other non-ferrous metals and articles thereof (including waste and scrap of some metals); cermets and articles thereof","Otros metales no ferrosos y sus manufacturas (incluso desperdicios y desechos de algunos metales); aleaciones metalocerámicas (cermet) y sus manufacturas"
42,"Fabricated metal products, except machinery and equipment","Productos metálicos elaborados, excepto maquinaria y equipo"
421,"Structural metal products and parts thereof","Productos metálicos estructurales y sus partes"
422,"Tanks, reservoirs and containers of iron, steel or aluminium","Depósitos, cisternas y recipientes de hierro, acero o aluminio"
423,"Steam generators, (except central heating boilers) and parts thereof","Calderas generadoras de vapor de agua (excepto calderas de agua caliente para calefacción central) y sus partes"
429,"Other fabricated metal products","Otros productos metálicos elaborados"
43,"General-purpose machinery","Maquinaria para usos generales"
431,"Engines and turbines and parts thereof","Motores y turbinas y sus partes"
432,"Pumps, compressors, hydraulic and pneumatic power engines, and valves, and parts thereof","Bombas, compresores, motores de fuerza hidráulica y motores de potencia neumática y válvulas y sus partes y piezas"
433,"Bearings, gears, gearing and driving elements, and parts thereof","Rodamientos, engranajes, trenes de engranajes y elementos de transmisión y sus partes y piezas"
434,"Ovens and furnace burners and parts thereof","Hornos y quemadores para alimentación de hogares y sus partes y piezas"
435,"Lifting and handling equipment and parts thereof","Equipo de elevación y manipulación y sus partes y piezas"
439,"Other general-purpose machinery and parts thereof","Otras máquinas para usos generales y sus partes y piezas"
44,"Special-purpose machinery","Maquinaria para usos especiales"
441,"Agricultural or forestry machinery and parts thereof","Maquinaria agrícola o forestal y sus partes y piezas"
442,"Machine-tools and parts and accessories thereof","Máquinas herramientas y sus partes, piezas y accesorios"
443,"Machinery for metallurgy and parts thereof","Maquinaria para la industria metalúrgica, y sus partes y piezas"
444,"Machinery for mining, quarrying and construction, and parts thereof","Maquinaria para la minería, la explotación de canteras y la construcción, y sus partes y piezas"
445,"Machinery for food, beverage and tobacco processing, and parts thereof","Maquinaria para la elaboración de alimentos, bebidas y tabaco, y sus partes y piezas"
446,"Machinery for textile, apparel and leather production, and parts thereof","Maquinaria para la fabricación de textiles, prendas de vestir y artículos de cuero, y sus partes y piezas"
447,"Weapons and ammunition and parts thereof","Armas y municiones, y sus partes y piezas"
448,"Domestic appliances and parts thereof","Aparatos de uso doméstico, y sus partes y piezas"
449,"Other special-purpose machinery and parts thereof","Otra maquinaria para usos especiales, y sus partes y piezas"
45,"Office, accounting and computing machinery","Maquinaria de oficina, contabilidad e informática"
451,"Office and accounting machinery, and parts and accessories thereof","Máquinas de oficina y de contabilidad, y sus partes, piezas y accesorios"
452,"Computing machinery and parts and accessories thereof","maquinaria de informática, y sus partes, piezas y accesorios"
46,"Electrical machinery and apparatus","Maquinaria y aparatos eléctricos"
461,"Electric motors, generators and transformers, and parts thereof","Motores, generadores y transformadores eléctricos, y sus partes y piezas"
462,"Electricity distribution and control apparatus, and parts thereof","Aparatos de control eléctrico o distribución de electricidad, y sus partes y piezas"
463,"Insulated wire and cable; optical fibre cables","Hilos y cables aislados; cables de fibras ópticas"
464,"Accumulators, primary cells and primary batteries, and parts thereof","Acumuladores; pilas y baterías primarias, y sus partes y piezas"
465,"Electric filament or discharge lamps; arc lamps; lighting equipment; parts thereof","Lámparas eléctricas de incandescencia o descarga; lámparas de arco, equipo para alumbrado eléctrico; y sus partes y piezas"
469,"Other electrical equipment and parts thereof","Otro equipo eléctrico, y sus partes y piezas"
47,"Radio, television and communication equipment and apparatus","Equipo y aparatos de radio, televisión y comunicaciones"
471,"Electronic valves and tubes; electronic components; parts thereof","Válvulas y tubos electrónicos; componentes electrónicos; y sus partes y piezas"
472,"Television and radio transmitters; television, video and digital cameras; telephone sets","Transmisores de televisión y radio; cámaras de video, digitales y de televisión; aparatos telefónicos"
473,"Radio broadcast and television receivers; apparatus for sound and video recording and reproducing; microphones, loudspeakers, amplifiers, etc.","Radiorreceptores y receptores de televisión; aparatos para la grabación y reproducción de audio y video; micrófonos, altavoces, amplificadores, etc."
474,"Parts for the goods of classes 4721 to 4733 and 4822","Partes y piezas para los productos de las clases 4721 a 4733 y 4822"
475,"Disks, tapes, solid-state non-volatile storage devices and other media, not recorded","Discos, cintas, dispositivos de almacenamiento permanente de estado sólido y otros medios de almacenamiento, no grabados"
476,"Audio, video and other disks, tapes and other physical media, recorded","Discos, cintas y otros medios físicos de audio, vídeo y otros, grabados"
478,"Packaged software","Paquete de software"
479,"Cards with magnetic strips or chip","Tarjetas con bandas magnéticas o chip"
48,"Medical appliances, precision and optical instruments, watches and clocks","Aparatos médicos, instrumentos ópticos y de precisión, relojes"
481,"Medical and surgical equipment and orthopaedic appliances","Equipos médicos y quirúrgicos y aparatos ortopédicos"
482,"Instruments and appliances for measuring, checking, testing, navigating and other purposes, except optical instruments; industrial process control equipment; parts and accessories thereof","Instrumentos y aparatos de medición, verificación, análisis, navegación y para otros fines, excepto instrumentos ópticos; instrumentos de control de procesos industriales; sus partes y accesorios"
483,"Optical instruments and photographic equipment, and parts and accessories thereof","Instrumentos ópticos y equipo fotográfico, y sus partes y accesorios"
484,"Watches and clocks, and parts thereof","Relojes y sus partes"
49,"Transport equipment","Equipo de transporte"
491,"Motor vehicles, trailers and semi-trailers; parts and accessories thereof","Vehículos automotores, remolques y semirremolques; y sus partes y accesorios"
492,"Bodies (coachwork) for motor vehicles; trailers and semi-trailers; parts and accessories thereof","Carrocerías para vehículos automotores; remolques y semirremolques; sus partes y accesorios"
493,"Ships","Buques"
494,"Pleasure and sporting boats","Embarcaciones para deportes y recreo"
495,"Railway and tramway locomotives and rolling stock, and parts thereof","Locomotoras y material rodante de ferrocarril y tranvía, y sus partes"
496,"Aircraft and spacecraft, and parts thereof","Aeronaves y naves espaciales y sus partes"
499,"Other transport equipment and parts thereof","Otro equipo de transporte y sus partes"
5,"Constructions and construction services","Construcciones y servicios de construcción"
53,"Constructions","Construcciones"
531,"Buildings","Edificios"
532,"Civil engineering works","Obras de ingeniería civil"
54,"Construction services","Servicios de construcción"
541,"General construction services of buildings","Servicios generales de construcción de edificios"
542,"General construction services of civil engineering works","Servicios generales de construcción para obras de ingeniería civil"
543,"Site preparation services","Servicios de preparación del terreno de construcción"
544,"Assembly and erection of prefabricated constructions","Montaje e instalación de construcciones prefabricadas"
545,"Special trade construction services","Servicios especializados de construcción"
546,"Installation services","Servicios de instalación"
547,"Building completion and finishing services","Servicios de acabado y terminación de edificios"
6,"Distributive trade services; accommodation, food and beverage serving services; transport services; and electricity, gas and water distribution services","Servicios comerciales de distribución; alojamiento, servicios de suministro de comidas y bebidas; servicios de transporte; y servicios de distribución de electricidad, gas y agua"
61,"Wholesale trade services","Servicios de comercio al por mayor"
611,"Wholesale trade services, except on a fee or contract basis","Servicios de comercio al por mayor, excepto por comisión o por contrato"
612,"Wholesale trade services on a fee or contract basis","Servicios de comercio al por mayor a comisión o por contrato"
62,"Retail trade services","Servicios de comercio al por menor"
621,"Non-specialized store retail trade services","Servicios de comercio al por menor en tiendas no especializadas"
622,"Specialized store retail trade services","Servicios de comercio al por menor en tiendas especializadas"
623,"Mail order or Internet retail trade services","Servicios de comercio al por menor a través de pedidos por correo o internet"
624,"Other non-store retail trade services","Otros servicios de comercio al por menor sin intervención de tiendas"
625,"Retail trade services on a fee or contract basis","Servicios de comercio al por menor, prestados a comisión o por contrato"
63,"Accommodation, food and beverage services","Alojamiento, servicios de suministro de comidas y bebidas"
631,"Accommodation services for visitors","Servicios de alojamiento para visitantes"
632,"Other accommodation services for visitors and others","Otros servicios de alojamiento para visitantes y otros"
633,"Food serving services","Servicios de suministro de comida"
634,"Beverage serving services","Servicios de suministro de bebidas"
64,"Passenger transport services","Servicios de transporte de pasajeros"
641,"Local transport and sightseeing transportation services of passengers","Servicios de transporte local y turístico de pasajeros"
642,"Long-distance transport services of passengers","Servicios de transporte de pasajeros para largas distancias"
65,"Freight transport services","Servicios de transporte de carga"
651,"Land transport services of freight","Servicios de transporte de carga por vía terrestre"
652,"Water transport services of freight","Servicios de transporte de carga por vía acuática"
653,"Air and space transport services of freight","Servicios de transporte de carga por vía aérea y espacial"
66,"Rental services of transport vehicles with operators","Servicios de alquiler de vehículos de transporte con operario"
660,"Rental services of transport vehicles with operators","Servicios de alquiler de vehículos de transporte con operario"
67,"Supporting transport services","Servicios de apoyo al transporte"
671,"Cargo handling services","Servicios de manipulación de carga"
672,"Storage and warehousing services","Servicios de almacenamiento y depósito"
673,"Supporting services for railway transport","Servicios apoyo al transporte por vía férrea"
674,"Supporting services for road transport","Servicios de apoyo para el transporte por carretera"
675,"Supporting services for water transport","Servicios de apoyo para el transporte por vía acuática"
676,"Supporting services for air or space transport","Servicios de apoyo al transporte aéreo o espacial"
679,"Other supporting transport services","Otros servicios de apoyo al transporte"
68,"Postal and courier services","Servicios postales y de mensajería"
681,"Postal and courier services","Servicios postales y de mensajería"
69,"Electricity, gas and water distribution (on own account)","Distribución de electricidad, gas y agua (por cuenta propia)"
691,"Electricity and gas distribution (on own account)","Distribución de electricidad y gas (por cuenta propia)"
692,"Water distribution (on own account)","Distribución de agua (por cuenta propia)"
7,"Financial and related services; real estate services; and rental and leasing services","Servicios financieros y servicios conexos; servicios inmobiliarios; y servicios de alquiler y arrendamiento"
71,"Financial and related services","Servicios financieros y servicios conexos"
711,"Financial services, except investment banking, insurance services and pension services","Servicios financieros, excepto los servicios de la banca de inversión, servicios de seguros y servicios de pensiones"
712,"Investment banking services","Servicios bancarios de inversión"
713,"Insurance and pension services (excluding reinsurance services), except compulsory social security services","Servicios de seguros y de pensiones (con exclusión de los servicios de reaseguro), excepto los servicios de seguridad social de afiliación obligatoria"
714,"Reinsurance services","Servicios de reaseguro"
715,"Services auxiliary to financial services other than to insurance and pensions","Servicios auxiliares de la intermediación financiera distintos de los servicios de seguros y de pensiones"
716,"Services auxiliary to insurance and pensions","Servicios auxiliares de seguros y pensiones"
717,"Services of holding financial assets","Servicios de mantenimiento de activos financieros"
72,"Real estate services","Servicios inmobiliarios"
